Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
179-2-20819,Madrigal,All Ye Who Music Love,Donato,,"Belwin, Inc;Mills Music, Inc. [Six Easy Madrigals]",2,(SATB or SAB)
179-2-20820,Madrigal,Chi La Gagliardo,Donato,Klein,"G. Schirmer, Inc.",2,(SATB) (Italian)
179-2-20822,Madrigal,Say Love,Dowland,McCray,Shawnee Press,2,(SATB)
179-2-20827,Madrigal,Say Not Farewell,Escobar,Knight,"Carl Fischer, Inc.",2,(SATB)
179-2-20833,Madrigal,"Fair Maid, Thy Charm and Loveliness",Hassler,Greyson,"Bourne, Co.",2,(SATB)
179-2-20835,Madrigal,"Farewell, My Love",Hirt,,"Carl Fischer, Inc.",2,(SATB)
179-2-20836,Madrigal,Ce Moys de May,Janequin,Contino,"G. Schirmer, Inc. [European Madrigals];Roger Dean Publishing Company;Lorenz Corporation",2,(SATB) (French)
179-2-20837,Madrigal,"The Lovely Game, What Fun to Play",Janequin,Klein,"G. Schirmer, Inc.",2,(SATB) (English or French)
179-2-20839,Madrigal,Je ne fus Jamais se Aise,Jannequin,Hall,"National Music Publishers, Inc.",2,(SATB) (French)
179-2-20843,Madrigal,Love Me Truly,LeFevre,Knight,"Carl Fischer, Inc.",2,(SATB) (English or French)
179-2-20845,Madrigal,And the Green Grass Grew,Moore,,"Alfred Music Company, Inc.",2,(SAB)
179-2-20861,Madrigal,Donde Hay,Page,,"Fostco Music Press;Hal Leonard Music, Inc.;Shawnee Press",2,(SATB)
179-2-20863,Madrigal,O Music Sweet,Peuerl,Knight,"Carl Fischer, Inc.",2,(SSATB) (English or German)
179-2-20868,Madrigal,Nach Gruner Farb Mein Herz Verlangt,Praetorius,Richter,Schott Company,2,(SATB) (German)
179-2-20872,Madrigal,Ein Hennlein Weiss,Scandello,Greyson,"Bourne, Co.",2,(SATB) (German)
179-2-20874,Madrigal,J'ay fait pour vous cent mille pas,Sermisy,Cazeaux,Tetra Music Corporation,2,(SATB) (English or French)
179-2-25069,Madrigal,Two Chansons,Sermisy,,Broude Brothers,2,(SATB) (English or French) (sing one)
179-2-20875,Madrigal,Aupres de ma Blonde,Shaw,Parker,Lawson-Gould Music Publishing Company,2,(SSATTBB) (French)
179-2-20881,Madrigal,All at Once Well Met Fair Ladies,Weelkes,Hall,"National Music Publishers, Inc.",2,(SSATB)
179-2-20888,Madrigal,Since Robin Hood,Weelkes,Carl,"Oxford University Press [Oxford Book of English Madrigals, The];National Music Publishers, Inc.",2,(SAB)
179-2-20889,Madrigal,As Fair as Morn,Wilbye,Haberlen,"Fostco Music Press;Hal Leonard Music, Inc.;Shawnee Press",2,(SAB)
179-2-20891,Madrigal,Thus Saith My Cloris Bright,Wilbye,Randolph,"Penguin Books [Penguin Book of English Madrigals for Four Voices, The];Lawson-Gould Music Publishing Company",2,(SATB)
179-2-20892,Madrigal,Laughing So Heartily,Willaert,Greyson,"Bourne, Co.",2,(SATB)
179-3-20895,Madrigal,Now Spring In All Her Glory,Arkadelt,,"Belwin, Inc [Six Easy Madrigals];Warner Bros. Music Publications Inc.;Mills Music, Inc.",3,(SATB)
179-3-20896,Madrigal,Your Shining Eyes,Bateson,,"Galaxy Music Corporation [Invitation to Madrigals, Book 1]",3,(SAB)
179-3-20898,Madrigal,While the Bright Sun,Byrd,,"Belwin, Inc [Six Easy Madrigals];Warner Bros. Music Publications Inc.;Mills Music, Inc.",3,(SATB)
179-3-20900,Madrigal,"Dear Love, Be Not Unkind",Dering,,"Galaxy Music Corporation [Invitation to Madrigals, Book 2]",3,(SATB)
179-3-20902,Madrigal,"Ah, Could My Eyes Behold Thee",di Lasso,,"E.C. Schirmer Music Company [A Cappella Singer, The]",3,(SATB) (English or Italian) (also published separately)
179-3-20918,Madrigal,Wilt Thou Unkind,Dowland,,"Galaxy Music Corporation [Invitation to Madrigals, Book 2]",3,(SATB)
179-3-20920,Madrigal,"Follow Me, Sweet Love",East,,"Galaxy Music Corporation [Invitation to Madrigals, Book 1]",3,(SAB)
179-3-20922,Madrigal,Since First I Saw Your Face,Ford,,"Galaxy Music Corporation [Invitation to Madrigals, Book 2];Belwin, Inc;Warner Bros. Music Publications Inc. [Six Easy Madrigals];Oxford University Press [Madrigals and Partsongs]",3,(SATB)
179-3-20924,Madrigal,"Kommt, ihr G'Spielen",Franck,,"J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 4 (The Seasons)]",3,(SATB) (German)
179-3-20931,Madrigal,Vezzosette Ninfe,Gastoldi,,"G. Schirmer, Inc. [European Madrigals]",3,(SSATB) (Italian)
179-3-20934,Madrigal,"Farewell, Dear Love",Jones,,"Galaxy Music Corporation [Invitation to Madrigals, Book 2]",3,(SATB)
179-3-20938,Madrigal,O Fly Not Love,Morley,,"Galaxy Music Corporation [Invitation to Madrigals, Book 1]",3,(SAB)
179-3-20940,Madrigal,Springtime Mantleth Every Bough,Morley,,"Galaxy Music Corporation [Invitation to Madrigals, Book 1]",3,(SAB)
179-3-20950,Madrigal,So Well I Know Who's Happy,Vecchi,,"E.C. Schirmer Music Company [A Cappella Singer, The]",3,(SATB) (also published separately)
179-3-20952,Madrigal,In Pride of May,Weelkes,,"G. Schirmer, Inc. [European Madrigals]",3,(SSATB)
179-3-20954,Madrigal,Though My Carriage Be But Careless,Weelkes,,"Galaxy Music Corporation [Invitation to Madrigals, Book 1]",3,(SAB)
179-3-20955,Madrigal,Tomorrow is the Marriage Day,Weelkes,,"Galaxy Music Corporation [Invitation to Madrigals, Book 1]",3,(SAB)
179-3-20956,Madrigal,I Have Ere This Time,Whythorne,,"Galaxy Music Corporation [Invitation to Madrigals, Book 2]",3,(SATB)
179-3-20960,Madrigal,Ye Restless Thoughts,Wilbye,,"Galaxy Music Corporation [Invitation to Madrigals, Book 1]",3,(SAB)
179-3-20899,Madrigal,Non e Tempo,Cara,,European American,3,(SATB) (English or Italian) (sing one verse)
179-3-20906,Madrigal,O Bella Fusa,di Lasso,Klein,"G. Schirmer, Inc.",3,(SATB) (Italian)
179-3-23783,Madrigal,O Eyes Of My Beloved,di Lasso,,"E.C. Schirmer Music Company [A Cappella Singer, The]",3,(SATB)
179-3-20908,Madrigal,S'io fusse ciaul,di Lasso,Klein,"G. Schirmer, Inc.",3,(SATB) (Italian)
179-3-20909,Madrigal,"Tutto lo di mi dici, canta",di Lasso,Klein,"G. Schirmer, Inc.",3,(SATB) (Italian)
179-3-20913,Madrigal,Fine Knacks for Ladies,Dowland,McCray,"Faber Music, Ltd. [The King's Singers' Madrigals, Volume 1];Galaxy Music Corporation [Garland of Dowland, A];Stainer & Bell",3,(SATB)
179-3-20925,Madrigal,Amor vittorioso,Gastoldi,Leininger,"G. Schirmer, Inc. [European Madrigals];Alliance Music Publications",3,(SSATB) (Italian)
179-3-20928,Madrigal,"15 Balletti, Set III",Gastoldi,,"C.F. Peters Corporation;Boosey & Hawkes, Inc.",3,(SSATB) (Italian) (sing one)
179-3-20930,Madrigal,This Sweet and Lovely Siren,Gastoldi,Greyson,"Bourne, Co.",3,(SSATB) (English or Italian)
179-3-20933,Madrigal,With Love My Heart is Ringing,Hassler,,"Carl Fischer, Inc.",3,(SATB)
179-3-20937,Madrigal,How Merrily We Live,Anon. or Trad.,Moore,"Hal Leonard Music, Inc.",3,(SAB)
179-3-20939,Madrigal,Sing We and Chant It,Morley,Robinson,"Alfred Music Company, Inc.",3,(SAB)
179-3-20944,Madrigal,In These Delightful Pleasant Groves,Purcell,Robinson,"Alfred Music Company, Inc.",3,(SATB or SAB)
179-3-20949,Madrigal,Fa Una Canzona,Vecchi,Greyson,"Bourne, Co.",3,(SATB) (Italian)
179-3-20951,Madrigal,Five Madrigals for Three Voices,Weelkes,,Broude Brothers [Five Madrigals for Three Voices],3,(SSB or SAB) (sing one madrigal)
179-3-20957,Madrigal,He Who Hath Joy in Music,Widmann,Greyson,"Bourne, Co.",3,(SATB) (English or German)
179-3-20958,Madrigal,"O Music, Loveliest Art",Widmann,,"Carl Fischer, Inc.",3,(SATB)
