Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
602-3-17988,Harp Solo,Early German Pieces,various,Lawrence,Lyra Music Company [Early German Pieces],3,(play Song OR German Dance in D OR Country Waltz OR Minuet)
602-3-17990,Harp Solo,Scottish Harpist Level 1,Curcio,,stephaniecurciopublications.com [Scottish Harpist Level 1],3,(play My Love is Like a Red Red Rose OR Robin Adair OR Skye Boat Song OR The Blue Bells of Scotland)
602-3-17994,Harp Solo,Thirty Little Classics for the Harp,Anon. or Trad.,Dilling,Oliver Ditson Company,3,(play one)
602-3-17995,Harp Solo,Nocturne (from Trois Pieces Faciles),Grandjany,,Lyra;Alphonse Leduc,3,
602-3-17996,Harp Solo,Reverie (from Trois Pieces Faciles),Grandjany,,Lyra;Alphonse Leduc,3,
602-3-17997,Harp Solo,The Magic Road,Gustavson,,Salvi Publications [The Magic Road],3,TITLE CHANGE & SPECS: (play any one EXCEPT A Moorish Garden)
602-2-17999,Harp Solo,Love Song,Gustavson,,Gustavson Music Publications [Songs Without Words],2,
602-3-18004,Harp Solo,"Petite Berceuse pour harpe, Op. 11",Hasselmans,,Lyra Music Company;Alphonse Leduc;Public Domain,3,
602-3-18006,Harp Solo,The Royale Harpist,Honey,,afghanpressmusic.com [The Royale Harpist],3,(play Branle d'Escosse OR Branle de Cheveaux OR Cantiga OR L'Espagnoletta)
602-3-18014,Harp Solo,Early English Pieces,Lawrence,,Lyra Music Company,3,(play one)
602-3-18015,Harp Solo,Early French Pieces,Lawrence,,Lyra Music Company,3,(play one)
602-3-18016,Harp Solo,"Graded Recital Pieces, Vol. 1",McDonald,Wood,M. Whitmark & Sons [Graded Recital Pieces Vol I],3,(play Concert Etude OR Moonlight)
602-3-18019,Harp Solo,Irish Songs,Murphy,,Lyra Music Company [Irish Songs],3,(play Harvest Hornpipe OR Window Smasher Jig OR Gramanhree OR The Lark in the Clear Air)
602-3-18023,Harp Solo,The Little Harp's Delight,Soule,,Lyra Music Company [The Little Harp's Delight],3,(play English Song OR Folk Dance OR Sailors' Dance)
602-1-25725,Harp Solo,Chanson dans la Nuit,Salzedo,Lawrence,"G. Schirmer, Inc. [from Method for the Harp];Alfred Music Company, Inc. [Suzuki Harp School Vol. 5];Lyra Music Company",1,
602-2-25727,Harp Solo,The River,Barber,,Vanderbilt;Lyrical Light Harp Publications,2,
602-3-25730,Harp Solo,Fiesta for solo harp,Barber,,Vanderbilt;Lyrical Light Harp Publications,3,
602-1-30985,Harp Solo,Divertissement A La Francaise,Caplet,,Durand,1,
602-1-32463,Harp Solo,Chanson de Mai,Hasselmans,,Public Domain,1,
602-1-32464,Harp Solo,Sonata in c minor,Dussek,,Public Domain,1,Play mvts 1 or 3
602-1-30623,Harp Solo,Danses Sacree et Profane,Debussy,Renie,Public Domain;Durand;Lyra Music Company,1,(play Sacree OR Profane)
602-1-30624,Harp Solo,Impromptu,Reinhold,Hainen,Vanderbilt,1,
602-1-30625,Harp Solo,Aria in the Classic Style for Harp and Organ,Grandjany,,"Hal Leonard Music, Inc.",1,(organ NOT required) (a cappella)
602-1-30626,Harp Solo,"Impromptu-Caprice, Op. 9",Pierne,,Alphonse Leduc;Lyra Music Company;Public Domain,1,
602-1-32460,Harp Solo,Au Matin,Tournier,,Public Domain,1,
602-1-32461,Harp Solo,La Source,Hasselmans,,Public Domain,1,
602-1-32462,Harp Solo,"Berceuse Russe, Op. 40",Tournier,,"Lyra Music Company;Alfred Music Company, Inc. [Suzuki Harp School Vol. 5];Public Domain",1,
602-1-31091,Harp Solo,Fantasie for Harp Op. 95,Saint-Saens,,Durand,1,
602-1-39973,Harp Solo,Absidioles,Andres,,Durand,1,
602-1-39974,Harp Solo,Duke,Andres,,Alphonse Leduc,1,
602-1-39975,Harp Solo,Sweet Blues,Andres,,Alphonse Leduc,1,
602-1-39976,Harp Solo,Sonata,Benda,Dulova,Salvi Publications,1,(play 1st mvt with NO repeats)
602-1-39977,Harp Solo,"Partitas Nos. 1-3, BWV 825-827",,Rayan-Forero,Lyon & Healy Publications,1,(play ONE from Partita No. 1: Praeludium OR Allemande OR Sarabande OR Giga)
602-1-39978,Harp Solo,Around the Clock,Chertok,,Salvi Publications,1,(play any mvt)
602-1-39979,Harp Solo,Yolanda Kondonassis Collection,various,Kondonassis,"Carl Fischer, Inc. [Yolanda Kondonassis Collection]",1,(play Valse Romantic OR Claire de lune OR Quando men vo (Musetta’s Waltz))
602-1-39980,Harp Solo,First Arabesque,Debussy,Renie,Lyra Music Company,1,
602-1-39981,Harp Solo,Second Arabesque,Debussy,Renie,Lyra Music Company,1,
602-1-39982,Harp Solo,"Children’s Hour Suite, Op. 25",Grandjany,,"Carl Fischer, Inc.;G. Schirmer, Inc.",1,(play 2nd & 3rd mvts)
602-1-39983,Harp Solo,Colorado Trail,Grandjany,,Lyra Music Company,1,
602-1-39984,Harp Solo,"Petite Valse, Op. 25",Hasselmans,,Gerard Billaudot Edition;Public Domain,1,
602-1-39985,Harp Solo,Nataliana for Solo Harp (2nd Edition),Henson-Conant,,hipharp.com,1,(play in either key)
602-1-39986,Harp Solo,Sonata for Harp,Hindemith,,Schott Company,1,(play 1st OR 2nd mvt)
602-1-39987,Harp Solo,Dragonflies for Solo Harp,Horstman,,Cindy Horstman Music,1,
602-1-39988,Harp Solo,Sonatina for Harp,Natra,,Israel Music Institute,1,
602-1-39989,Harp Solo,Concert Fantasy on “Pajaro Campana”,Riveros,,Lyon & Healy Publications,1,
602-1-39990,Harp Solo,La Desirade,Salzedo,Lawrence,"G. Schirmer, Inc. [Method for the Harp]",1,
602-1-39991,Harp Solo,Five Preludes for Harp Alone,Salzedo,,"Carl Fischer, Inc. [The Carlos Salzedo Collection];Lyra Music Company",1,(play one prelude)
602-1-39992,Harp Solo,The Minstrel’s Adieu to His Native Land,Thomas,,Lyon & Healy Publications;Salvi Publications;Public Domain,1,
