Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
931-2-21094,Mixed Chorus,Et Misericordia,Victoria,Liebergen,"Hal Leonard Music, Inc.",2,(three part mixed) (Latin) (POP) (a cappella)
931-2-21095,Mixed Chorus,In Pride of May,Weelkes,Porter,Associated Music Publishers Inc.,2,(SATB) (a cappella)
931-2-21096,Mixed Chorus,Three Songs from Edgar Allan Poe,Adams,,CMS Publishers [Three Songs from Edgar Allan Poe],2,(SATB) (sing Eldorado OR Hymn from Morella) (accomp)
931-2-21098,Mixed Chorus,"Lord God, We Worship Thee",Bach,Hopson,"Harold Flammer, Inc.;Any unabridged edition",2,(SAB) (accomp)
931-2-21100,Mixed Chorus,A Jubilant Psalm,Crocker,,"Jenson Publications, Inc.;Any unabridged edition",2,(SATB) (accomp)
931-2-21101,Mixed Chorus,Adoramus Te,Crocker,,"Hal Leonard Music, Inc.",2,(three part mixed) (accomp)
931-2-21103,Mixed Chorus,I Will Sing of the Goodness of the Lord,Crocker,,"Hal Leonard Music, Inc.;Any unabridged edition",2,(SATB) (accomp)
931-2-21104,Mixed Chorus,"Sing Praise, Alleluia",Crocker,,"Jenson Publications, Inc.;Any unabridged edition",2,(SAB) (accomp)
931-2-21105,Mixed Chorus,Ahrirang,de Cormier,,Lawson-Gould Music Publishing Company,2,(SATB) (accomp)
931-2-21106,Mixed Chorus,"Triste Espana, sin ventura!",del Encina,Nin-Culmell,Broude Brothers,2,(SATB) (English or Spanish) (opt accomp) (a cappella)
931-2-21107,Mixed Chorus,"I. O Mistress Mine, Where Are You Roaming (from Three Ma",Diemer,,"Boosey & Hawkes, Inc.",2,(SATB) (accomp)
931-2-21108,Mixed Chorus,O Vos Omnes,Estes,,Shawnee Press,2,(three part mixed) (Latin) (accomp)
931-2-21110,Mixed Chorus,The Young Cossack,Glinka,,Southern Music Publishing Company;Any unabridged edition,2,(SATB) (accomp)
931-2-21111,Mixed Chorus,Sing to the Lord (from Three Meditations),Goemanne,,"Harold Flammer, Inc.;Any unabridged edition",2,(SATB) (accomp)
931-2-21112,Mixed Chorus,The Sky Can Still Remember,Gray,,"G. Schirmer, Inc.",2,(SAB) (accomp)
931-3-21114,Mixed Chorus,Happy We!,Handel,Hines,Neil A. Kjos Music Company,3,(SATB) (accomp)
931-2-21115,Mixed Chorus,"Jesus, Sun of Life, My Splendor",Handel,Bunjes,Concordia Publishing House,2,(SATB) (sing ONLY first verse) (violin & cello) (accomp)
931-2-21116,Mixed Chorus,Then Will I Jehovah's Praise,Handel,Ehret,"Carl Fischer, Inc.",2,(SAB) (accomp)
931-2-21119,Mixed Chorus,"O Give Thanks to God, the Lord",Haydn,Hopson,"Harold Flammer, Inc.;Any unabridged edition",2,(SATB) (accomp)
931-2-21120,Mixed Chorus,Hope Is the Thing With Feathers,Hollmann,,Mark Foster Music Company;Any unabridged edition,2,(SAB) (accomp)
931-2-21121,Mixed Chorus,Miserere Nobis,Johnson,,"Hal Leonard Music, Inc.",2,(three part mixed) (Latin) (accomp)
931-2-21122,Mixed Chorus,Tambourica,Anon. or Trad.,Kirk,Alliance Music Publications,2,(SAB) (accomp)
931-2-21124,Mixed Chorus,Kyrie,Klouse,,"Hal Leonard Music, Inc.",2,(SAB) (accomp)
931-2-21126,Mixed Chorus,O Love Divine,Marcello,Wagner,"Harold Flammer, Inc.;Any unabridged edition",2,(SAB) (accomp)
931-2-21127,Mixed Chorus,Benedictus,McPheeters,,Shawnee Press,2,(SAB) (accomp)
931-2-21128,Mixed Chorus,Gloria!,Moses,,BriLee Music,2,(SATB) (accomp)
931-2-21129,Mixed Chorus,"Alleluia, Sing With High Delight",Mozart,Hopson,"Alfred Music Company, Inc.;Any unabridged edition",2,(two part mixed) (accomp)
931-2-21130,Mixed Chorus,Due Pupille Amabili,Mozart,Carl,"National Music Publishers, Inc.",2,(SAB) (Italian) (clarinets REQUIRED) (accomp)
931-2-21131,Mixed Chorus,My Johnny is Comin' For Me,Oliver,,"Richmond Music Press, Inc.;Any unabridged edition",2,(SATB) (accomp)
931-2-21133,Mixed Chorus,Kyrie,Porterfield,,"Alfred Music Company, Inc.",2,(SATB or SAB) (accomp)
931-2-21134,Mixed Chorus,Praise Ye the Lord of Hosts,Saint-Saens,Ehert/Dole,"Boosey & Hawkes, Inc. [from Christmas Oratorio];G. Schirmer, Inc.",2,(SATB or SAB) (accomp)
931-2-21135,Mixed Chorus,Psalm 150,Schutz,,Theodore Presser Company,2,(SATB) (sing two verses) (accomp)
931-2-21136,Mixed Chorus,Sing a New Song,Schutz,Jennings,"Belwin, Inc",2,(SATB) (opt flute & string bass) (accomp)
931-2-21140,Mixed Chorus,Hear the Sound of Joy,Viadana,Hopson,"Harold Flammer, Inc.;Glencoe Publication;Any unabridged edition",2,(SATB or SAB) (accomp)
931-2-21141,Mixed Chorus,The Stars Are With the Voyager,Wagner,,"Richmond Music Press, Inc.;Any unabridged edition",2,SATB) (opt flute) (accomp)
931-3-21143,Mixed Chorus,Regina Caeli,Aichinger,,"J&W Chester, Ltd. [Chester Book of Motets, Book 04]",3,(SATB) (a cappella)
931-3-21144,Mixed Chorus,Christus Factus Est,Anerio,,"J&W Chester, Ltd. [Chester Book of Motets, Book 01]",3,(SATB) (a cappella)
931-3-21145,Mixed Chorus,Requiem Aeternam,Anerio,,"J&W Chester, Ltd. [Chester Book of Motets, Book 01]",3,(SATB) (a cappella)
931-3-21146,Mixed Chorus,Mon Coeur se Recommande a Vous,Anon. or Trad.,,"J&W Chester, Ltd. [Chester Book of Madrigals, Book 02]",3,(SATB) (French) (a cappella)
931-3-21147,Mixed Chorus,"Pase El Agoa, Ma Julieta",Anon. or Trad.,,"J&W Chester, Ltd. [Chester Book of Madrigals, Book 03]",3,(SATB) (Spanish) (a cappella)
931-3-21148,Mixed Chorus,"Two Chorales from The Christmas Oratorio, BWV 248",Bach,Deis,"G. Schirmer, Inc. [Two Chorales from the Christmas Oratorio, BWV 248]",3,(SATB) (sing one chorale) (opt accomp) (a cappella)
931-3-21150,Mixed Chorus,Chester,Billings,,"G. Schirmer, Inc. [Five Centuries of Choral Music]",3,(SATB) (also published separately) (a cappella)
931-3-21151,Mixed Chorus,Verbum Caro Factum Est,Compere,,"J&W Chester, Ltd. [Chester Book of Motets, Book 06]",3,(SATB) (a cappella)
931-3-21155,Mixed Chorus,Mas Vale Trocar,Encina,,"J&W Chester, Ltd. [Chester Book of Madrigals, Book 02]",3,(SATB) (Spanish) (a cappella)
931-3-21156,Mixed Chorus,Tria Sunt Munera,Esquivel,,"J&W Chester, Ltd. [Chester Book of Motets, Book 12]",3,(SSATB) (a cappella)
931-3-21157,Mixed Chorus,Ecce Concipies,Handl,,"J&W Chester, Ltd. [Chester Book of Motets, Book 04]",3,(SATB) (a cappella)
931-3-21158,Mixed Chorus,Resonet in Laudibus,Handl,,"J&W Chester, Ltd. [Chester Book of Motets, Book 04]",3,(SATB) (a cappella)
931-4-21160,Mixed Chorus,Dixit Maria,Hassler,,"J&W Chester, Ltd.;J. Fisher & Bro.",4,(SATB) (a cappella)
931-3-21161,Mixed Chorus,Tanzen und Springen,Hassler,,"Canyon Press, Inc. [Juilliard Repertory Library, Vocal 3];J&W Chester, Ltd. [Chester Book of Madrigals, The, Book 5 (Singing and Dancing)];Oxford University Press [Madrigals and Partsongs]",3,(SSATB) (German) (a cappella)
931-3-21162,Mixed Chorus,Lullay My Liking,Holst,,"G. Schirmer, Inc. [Five Centuries of Choral Music]",3,(SATB) (also published separately) (a cappella)
931-3-21163,Mixed Chorus,Gustate Et Videte,Isaac,,"J&W Chester, Ltd. [Chester Book of Motets, Book 05]",3,(SATB) (a cappella)
931-3-21164,Mixed Chorus,Jerusalem Surge,Isaac,,"J&W Chester, Ltd. [Chester Book of Motets, Book 05]",3,(SATB) (a cappella)
931-3-21165,Mixed Chorus,Dum Transisset,Johnson,,"J&W Chester, Ltd. [Chester Book of Motets, Book 02]",3,(SATB) (a cappella)
931-3-21166,Mixed Chorus,Tu Solus,des Prez,,"J&W Chester, Ltd. [Chester Book of Motets, Book 05]",3,(SATB) (a cappella)
931-3-21167,Mixed Chorus,El Grillo,des Pres,,"J&W Chester, Ltd. [Chester Book of Madrigals, Book 01];Alfred Music Company, Inc.",3,(SATB) (Italian) (a cappella)
931-3-21168,Mixed Chorus,Improperium,Lassus,,"J&W Chester, Ltd. [Chester Book of Motets, Book 05]",3,(SATB) (a cappella)
931-3-21169,Mixed Chorus,Springtime Mantleth Every Bough,Morley,,"J&W Chester, Ltd. [Chester Book of Madrigals, Book 04]",3,(SAB) (a cappella)
931-3-21170,Mixed Chorus,Der Winter Ist Ein Strengergast,Praetorius,,"J&W Chester, Ltd. [Chester Book of Madrigals, Book 04]",3,(SATB) (German) (a cappella)
931-3-21171,Mixed Chorus,Herzlich Tut,Praetorius,,"J&W Chester, Ltd. [Chester Book of Madrigals, Book 04]",3,(SATB) (German) (sing two verses) (a cappella)
931-3-21172,Mixed Chorus,Omnis Mundus Jocundetur,Praetorius,,"J&W Chester, Ltd. [Chester Book of Motets, Book 06]",3,(SATB) (a cappella)
931-3-21173,Mixed Chorus,Puer Natus,Praetorius,,"J&W Chester, Ltd. [Chester Book of Motets, Book 04]",3,(SATB) (a cappella)
931-3-21174,Mixed Chorus,Anima Mea,Rivaflecha,,"J&W Chester, Ltd. [Chester Book of Motets, Book 03]",3,(SATB) (a cappella)
931-3-21175,Mixed Chorus,Vorria che tu Centass',Scandello,,"J&W Chester, Ltd. [Chester Book of Madrigals, Book 05]",3,(SATB) (Italian) (a cappella)
931-3-21176,Mixed Chorus,Deus in Adjutorium,Senfl,,"J&W Chester, Ltd. [Chester Book of Motets, Book 04]",3,(SATB) (a cappella)
931-3-21177,Mixed Chorus,Book of Spirituals,Anon. or Trad.,Smith,Neil A. Kjos Music Company [Book of Spirituals],3,(SATB) (sing Climbin' Up the Mountain OR Good News OR Walk Together Children) (a cappella)
