Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
933-3-33333,Tenor-Bass Chorus,Give to Me the Life I Love,Johnson,,Heritage Music Press,3,(TTB) (accomp)
933-4-33340,Tenor-Bass Chorus,Black is the Color,Appalachian Folk Song,Koppin,Shawnee Press,4,(TTBB) (accomp)
933-5-33341,Tenor-Bass Chorus,Joshua Fit the Battle,Traditional Spiritual,Gonzales,Shawnee Press,5,(TTBB) (a cappella)
933-6-33343,Tenor-Bass Chorus,Everyone Sang,Martinson,,Oxford University Press,6,(TTBB) (accomp)
933-5-33347,Tenor-Bass Chorus,Swell the Full Chorus,Handel,Ohl,Plymouth Music Company,5,(TTBB) (accomp)
933-5-33348,Tenor-Bass Chorus,Who Is He in Yonder Stall,Young,,Plymouth Music Company,5,(TTBB) (accomp)
933-5-33350,Tenor-Bass Chorus,Everyone Sang,Rudoi,,Santa Barbara Music Publishing,5,(TTB) (accomp)
933-5-33351,Tenor-Bass Chorus,Requiescat,Ramsay,,Musicspoke,5,(TTBB) (a cappella)
933-5-33353,Tenor-Bass Chorus,Laudate Pueri,Mendelssohn,Eklund,Santa Barbara Music Publishing,5,(TTB) (accomp)
933-3-33354,Tenor-Bass Chorus,Stand Tall O Man,Berg,,Santa Barbara Music Publishing,3,(TTB) (divisi) (accomp)
933-4-33356,Tenor-Bass Chorus,"Love, Do You Hear Me Sing",Franklin,,Shawnee Press,4,(TTB) (a cappella)
933-4-33359,Tenor-Bass Chorus,"Amo, Amas, I Love A Lass",Anonymous,Bartholomew,Theodore Presser Company,4,(TBB) (a cappella)
933-5-33360,Tenor-Bass Chorus,Song of Peace,Persichetti,,Theodore Presser Company,5,(TTBB) (accomp)
933-4-33361,Tenor-Bass Chorus,Tshotsholoza,Traditional,Ames,Walton Music Corporation,4,(TTBB) (a cappella)
933-1-34512,Tenor-Bass Chorus,The Cowboy,Winebrenner,,BriLee Music,1,(TB) (opt accomp) (accomp)
933-2-34513,Tenor-Bass Chorus,All Night Today (All Nonsense),Jones,,BriLee Music,2,(TB or TTB) (accomp)
933-2-34514,Tenor-Bass Chorus,Kyrie Eleison,Fox,,Mark Foster Music Company,2,(TB) (accomp)
933-2-34515,Tenor-Bass Chorus,Lift the Sails in the Morning,Parks,,BriLee Music,2,(TB) (opt divisi) (accomp)
933-2-34516,Tenor-Bass Chorus,Linden Lea,Vaughan Williams,Shackley,Heritage Music Press,2,(TB) (accomp)
933-2-34517,Tenor-Bass Chorus,Travel,Beery,,BriLee Music,2,(TTB) (optional train whistle) (accomp)
933-3-34518,Tenor-Bass Chorus,Asleep in the Deep,Drennan,,"Carl Fischer, Inc.",3,(TBB) (divisi) (accomp)
933-3-34519,Tenor-Bass Chorus,Festival Sanctus,Johnson,,Heritage Music Press,3,(TTB) (accomp)
933-3-34520,Tenor-Bass Chorus,Gloria,Giardiniere,,Heritage Music Press,3,(TB) (opt divisi) (accomp)
933-3-34521,Tenor-Bass Chorus,Goin Home,Dvorak,Courtney,BriLee Music,3,(TB or TTB) (accomp)
933-3-34522,Tenor-Bass Chorus,"Hallelujah, Amen",Handel,Gilpin,"Alfred Music Company, Inc.",3,(TB) (accomp)
933-3-34523,Tenor-Bass Chorus,I Am With You,Fox,,"Hal Leonard Music, Inc.",3,(TTB) (clarinet REQUIRED) (accomp)
933-3-34524,Tenor-Bass Chorus,"Jubilate, Exsultate!",Johnson,,"Alfred Music Company, Inc.",3,(TBB) (accomp)
933-3-34525,Tenor-Bass Chorus,Poor Wayfaring Stranger,Traditional Spiritual,Jones,BriLee Music,3,(TTB) (opt accapella) (accomp)
933-3-34526,Tenor-Bass Chorus,The Glendy Burk,Foster,Hayes,"Alfred Music Company, Inc.",3,(TTB) (divisi) (accomp)
933-4-34528,Tenor-Bass Chorus,Cantate Domino,Pitoni,Leavitt,"Hal Leonard Music, Inc.",4,(TTBB) (a cappella)
933-4-34529,Tenor-Bass Chorus,Du bist wie eine Blume (You Are Like a Flower),Schumann,Valverde,MariValverde.comMVC-142,4,(TTB) (accomp)
933-4-34530,Tenor-Bass Chorus,Gao Shan Qing,Criddle,,SBMP,4,(TTBB) (accomp)
933-5-34531,Tenor-Bass Chorus,Sweet By and By,Webster,Humble,"Carl Fischer, Inc.",5,(TTBB) (a cappella)
933-5-34532,Tenor-Bass Chorus,Tapestry,Powell,,Mark Foster Music Company,5,(TTBB) (accomp)
933-5-34533,Tenor-Bass Chorus,The Parting Glass,Marrolli,,Galaxy Music Corporation,5,(TTBB) (a cappella)
933-3-34833,Tenor-Bass Chorus,Sea Fever,Porterfield,,Heritage Music Press,3,(TTB) (accomp)
933-2-35238,Tenor-Bass Chorus,The West-Country Lover,Farnell,,BriLee Music,2,(TTB) (opt divisi) (opt solo) (opt. accomp) (a cappella)
933-2-35239,Tenor-Bass Chorus,Lux Aeterna,Winebrenner,,BriLee Music,2,(TTB) (opt accomp) (a cappella)
933-2-35240,Tenor-Bass Chorus,In Everything Her Loveliness,Courtney,,BriLee Music,2,(TB) (opt divisi) (accomp)
933-2-35241,Tenor-Bass Chorus,Eldorado,Franklin,,Choristers Guild,2,(TB) (accomp)
933-2-35242,Tenor-Bass Chorus,Hurling Down the Pine,Winebrenner,,"Carl Fischer, Inc.",2,(TB) (opt divisi) (accomp)
