Code,Event Name,Title,Composer,Arranger,Publisher [Collection],Grade,Specification
401-1-23817,Violin Solo,Sonata No. 3 in F Major HWV 370,Handel,,"Carl Fischer, Inc.;C.F. Peters Corporation;G. Schirmer, Inc.;Summy/Birchard;International Music Company",1,(play two contrasting mvts)
401-1-23818,Violin Solo,Sonata No. 4 in D Major HWV 371,Handel,,"Carl Fischer, Inc.;C.F. Peters Corporation;G. Schirmer, Inc.;Summy/Birchard;International Music Company",1,(play two contrasting mvts)
401-1-23819,Violin Solo,Sonata No. 5 in A Major HWV 372,Handel,,"Carl Fischer, Inc.;C.F. Peters Corporation;G. Schirmer, Inc.;International Music Company",1,(play two contrasting mvts)
401-1-23820,Violin Solo,Sonata No. 6 in E Major HWV 373,Handel,,"Carl Fischer, Inc.;C.F. Peters Corporation;G. Schirmer, Inc.;International Music Company",1,(play two contrasting mvts)
401-1-15969,Violin Solo,Concerto No. 1 in C Major Hob. Vlla:1,Haydn,Flesch,C.F. Peters Corporation,1,(play one mvt)
401-1-15970,Violin Solo,Concerto No. 2 in G Major Hob. Vlla: 4,Haydn,Kuchler,C.F. Peters Corporation;Summy/Birchard,1,(play one mvt)
401-1-15971,Violin Solo,Sonata No. 1 in G Major,Haydn,,"C.F. Peters Corporation;G. Schirmer, Inc.",1,
401-1-23821,Violin Solo,Sonata No. 2 in D Major,Haydn,,"C.F. Peters Corporation;G. Schirmer, Inc.",1,
401-2-23822,Violin Solo,Sonata III,Haydn,,"C.F. Peters Corporation;G. Schirmer, Inc.",2,
401-2-23823,Violin Solo,Sonata V,Haydn,,"C.F. Peters Corporation;G. Schirmer, Inc.",2,
401-1-23824,Violin Solo,Sonata No. 7 in F Major,Haydn,,"C.F. Peters Corporation;G. Schirmer, Inc.",1,
401-1-23825,Violin Solo,Sonata No. 8 in G Major,Haydn,,"C.F. Peters Corporation;G. Schirmer, Inc.",1,
401-1-15972,Violin Solo,Sonatina per Violino e Pianoforte,Henze,,"B. Schott's Sohne, Mainz",1,
401-1-15973,Violin Solo,Hejre Kati,Hubay,,"Carl Fischer, Inc.;G. Schirmer, Inc.",1,(Czardas Scene)
401-1-15974,Violin Solo,Violin Concerto in C Major Op. 48,Kabalevsky,,International Music Company,1,(play one mvt)
401-1-15976,Violin Solo,Caprice Viennois,Kreisler,,"Carl Fischer, Inc. [The Fritz Kreisler Collection]",1,
401-1-15977,Violin Solo,Danse Espagnole,Kreisler,,"Carl Fischer, Inc. [The Fritz Kreisler Collection]",1,
401-1-15978,Violin Solo,La Gitana,Kreisler,,"Carl Fischer, Inc. [The Fritz Kreisler Collection]",1,(also available separately)
401-1-15979,Violin Solo,Liebesfreud,Kreisler,,"Carl Fischer, Inc.",1,(also available separately)
401-2-15981,Violin Solo,Melodie,Kreisler,,"Carl Fischer, Inc.;Summy/Birchard",2,
401-1-15983,Violin Solo,Praeludium and Allegro,Kreisler,,"Carl Fischer, Inc. [The Fritz Kreisler Collection];Charles Foley, Inc.",1,(also available separately)
401-1-15984,Violin Solo,"Recitative and Scherzo, Caprice",Kreisler,,Medici Music Press,1,
401-1-15986,Violin Solo,Sicilienne and Rigaudon,Kreisler,,"Carl Fischer, Inc. [The Fritz Kreisler Collection];Charles Foley, Inc.;Summy/Birchard",1,(also available separately)
